[*] '/home/aa35037123/unix_programming_labs/lab3/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_213      1db38      156a0     
gop_214      1c848      130c0     
gop_215      1dae0      155f0     
gop_216      1c868      13100     
gop_217      1db60      156f0     
gop_218      1c880      13130     
gop_219      1db68      15700     
gop_220      1d568      14b00     
gop_221      1c220      12470     
gop_222      1d578      14b20     
gop_223      1c238      124a0     
gop_224      1d4f8      14a20     
gop_225      1c360      126f0     
gop_226      1d650      14cd0     
gop_227      1c310      12650     
gop_228      1d668      14d00     
gop_229      1c368      12700     
gop_230      1e3a8      16780     
gop_231      1d0b0      14190     
gop_232      1e340      166b0     
gop_233      1d0b8      141a0     
gop_234      1e368      16700     
gop_235      1d048      140c0     
gop_236      1e4a0      16970     
gop_237      1d170      14310     
gop_238      1e440      168b0     
gop_239      1d180      14330     
gop_240      1cbb0      13790     
gop_241      1deb0      15d90     
gop_242      1cbd8      137e0     
gop_243      1de48      15cc0     
gop_244      1cc10      13850     
gop_245      1de68      15d3c     
gop_246      1cb80      13730     
gop_247      1e010      16050     
gop_248      1ccf0      13a10     
gop_249      1dfa0      15f70     
gop_250      1db20      15670     
gop_251      1c748      12ec0     
gop_252      1da10      15450     
gop_253      1c768      12f00     
gop_254      1d9b8      153a0     
gop_255      1c778      12f20     
gop_256      1d9c8      153c0     
gop_257      1c710      12e50     
gop_258      1db30      15690     
gop_259      1c840      130b0     
gop_260      1e420      16870     
gop_261      1d198      14360     
gop_262      1e4a8      16980     
gop_263      1d178      14320     
gop_264      1e468      16900     
gop_265      1d188      14340     
gop_266      1e448      168c0     
gop_267      1d160      142f0     
gop_268      1e510      16a50     
gop_269      1d218      14460     
gop_270      1cd28      13a80     
gop_271      1e048      160c0     
gop_272      1cd10      13a50     
gop_273      1dff8      16020     
gop_274      1cd18      13a60     
gop_275      1dfd0      15fd0     
gop_276      1cce0      139f0     
gop_277      1e090      16150     
gop_278      1cdb8      13ba0     
gop_279      1dfc8      15fc0     
gop_280      1db50      156d0     
gop_281      1c850      130d0     
gop_282      1db08      15640     
gop_283      1c870      13110     
gop_284      1daf0      15610     
gop_285      1c830      13090     
gop_286      1db80      15730     
gop_287      1c8e8      13200     
gop_288      1dae8      15600     
gop_289      1c8d8      131e0     
gop_290      1c338      126a0     
gop_291      1d648      14cc0     
gop_292      1c350      126d0     
gop_293      1d628      14c80     
gop_294      1c328      12680     
gop_295      1d6d0      14dd0     
gop_296      1c410      12850     
gop_297      1d618      14c60     
gop_298      1c3f8      12820     
gop_299      1d718      14e60     
gop_300      1dd30      15a90     
gop_301      1cbf8      13820     
gop_302      1de98      15d60     
gop_303      1cb78      13720     
gop_304      1ded8      15de0     
gop_305      1cc38      138a0     
gop_306      1def8      15e20     
gop_307      1cc50      138d0     
gop_308      1deb8      15da0     
gop_309      1c9d0      133d0     
gop_310      1cf60      13ef0     
gop_311      1e2a8      16580     
gop_312      1cf90      13f50     
gop_313      1e240      164b0     
gop_314      1d0d0      141d0     
gop_315      1e390      16750     
gop_316      1d068      14100     
gop_317      1e3b8      167a0     
gop_318      1d0e0      141f0     
gop_319      1e3e8      16800     
gop_320      1c168      12300     
gop_321      1d408      14840     
gop_322      1c0c0      121b0     
gop_323      1d590      14b50     
gop_324      1c258      124e0     
gop_325      1d500      14a30     
gop_326      1c278      12520     
gop_327      1d5a0      14b70     
gop_328      1c2b8      125a0     
gop_329      1d5b8      14ba0     
gop_330      1d8d8      151e0     
